date,ADA_USDT,ATOM_USDT,AVAX_USDT,BCH_USDT,BNB_USDT,BTC_USDT,DOGE_USDT,DOT_USDT,EOS_USDT,ETC_USDT,ETH_USDT,LINK_USDT,LTC_USDT,NEO_USDT,SOL_USDT,TRX_USDT,UNI_USDT,XLM_USDT,XRP_USDT,XTZ_USDT
2020-09-23 00:00:00+00:00,-0.0611234572379536,-0.09225073167562944,-0.4086284164003794,-0.05659727808648954,-0.051790693996207886,-0.027747100849892316,-0.03809543852200975,-0.03789834462482312,-0.05166582458829686,-0.02241173448637672,-0.07068346789739553,-0.13499534331121907,-0.034545354321995826,-0.02607317413473613,-0.01853254498247293,-0.005215658764295894,0.11338348132882566,-0.06142723208756642,-0.050069842792646126,-0.07589099880151151
2020-09-24 00:00:00+00:00,0.07429437934212282,0.1550805491546417,0.2722381077587383,0.03890256933479564,0.07349808237653699,0.047188198471375946,0.03297490541979694,0.08842017033575342,0.03674046672701024,0.02715246617409806,0.08441749028802611,0.2565735655070229,0.04461367966963322,0.10264919794032855,0.09627141535238294,0.05440590295506768,0.1646627485960412,0.043974290839057746,0.04895343578932027,0.09841447346859417
2020-09-25 00:00:00+00:00,0.16070604418008078,0.06644669272768287,0.01545810886458344,0.001386514064151876,0.004786184032957858,-0.00463521561603508,0.026937403059674313,0.008120971372381682,0.004253482053835626,0.0016891216563829786,0.00841791841818661,0.08334797108860394,0.02419295473697733,-0.023282751000840537,0.01590691580287021,0.03334266536909031,-0.04952145395984892,0.058459096290291286,0.037027211058759966,0.025108988855699028
2020-09-26 00:00:00+00:00,-0.015177006494574754,-0.039162271947205125,-0.04189752212771805,0.021926696101131814,0.05925627317088035,0.0039159023986676655,-0.0015929764236936028,-0.019006369935267744,0.008219224353132106,0.0744882054780771,0.005667021853450953,-0.03906449720286771,0.00021727322193022567,-0.014510475559576023,-0.020562536456888575,0.0014727543162744601,-0.009424678006282182,-0.011042396070221536,-4.140186723016017e-05,-0.018219266089770886
2020-09-27 00:00:00+00:00,0.059274349244695844,0.02571386585731933,0.0280110805224417,0.0355523962459716,0.0019523063999940281,0.004245955171710726,-0.0006675815253679103,-0.008021371396866893,0.00938864748690785,0.015158395391803423,0.01003649082095064,0.045197832416258375,0.0004344048721658038,0.006785155684235151,0.00925799979251144,-0.021946203468069247,-0.004652990627073468,-0.00679350438839809,0.007465953379303923,0.003128596984862929
2020-09-28 00:00:00+00:00,-0.009920716286747878,0.02072721539174059,-0.10093867403560787,-0.015733821978785867,0.027595601161130034,-0.007277969114733297,-0.016836044349372928,0.03519565677803233,-0.010519670793451546,-0.006080166128621522,-0.0099234773157165,-0.048489113500331214,-0.017967179211564027,-0.05028084767528755,-0.06472009862415079,-0.012869216217295677,-0.13112278171080402,-0.0016373315160122474,-0.009372294611415708,0.03075913034753194
2020-09-29 00:00:00+00:00,0.007944431058535812,0.09538552639869446,-0.015033550532992598,0.014555785672475435,0.06835504173719861,0.013406216589902006,0.008378625409021739,0.010461702658631705,0.01429675074829453,0.0004988591011286966,0.01633661551259001,-0.014497266343090157,0.01011887208542844,-0.021055525221527593,-0.0031808364664140183,0.0019029501460860636,0.030652586898778637,0.011405418952219252,0.007356621043866531,-0.006435201186102928
2020-09-30 00:00:00+00:00,0.0025684099864579173,0.011796785059456728,0.04485501633002373,-0.004813803002771312,0.012758038391072717,-0.005911086565506154,-0.014206015419245054,-0.03417840904720518,-0.008421590374577969,-0.0030524771872317874,0.00011116978416697862,-0.026555718579932816,0.011965768788941922,-0.0316258398400168,-0.018402489492243948,-0.003427921848403845,-0.053233462350617426,0.01034190938069122,-0.004705308334539538,-0.013586613567016495
2020-10-01 00:00:00+00:00,-0.03330297735297186,-0.045120435280469655,-0.04229753188539763,0.0007016313215393307,-0.06341655860561815,-0.014719097354311225,-0.003954678513276492,0.0002300807593612997,-0.012924061740592407,-0.012772994584803545,-0.019588660249067243,-0.023580195302507073,0.00021623959431210394,-0.015423927150692537,-0.010340851395074523,-0.015379003604792475,0.02008381879510344,-0.022977088684653833,-0.014669985945391185,-0.003733556219680025
2020-10-02 00:00:00+00:00,-0.05428257606813616,-0.04562089754422403,-0.05918740209960874,-0.037790909928138335,-0.004758768345677755,-0.004599449436267366,-0.013193410672699411,-0.05159846558853939,-0.02623923753542875,-0.02826364042503824,-0.020761000516938747,-0.04484181009130128,-0.030069202743993217,-0.037807892852825806,-0.0888363600794663,0.003480954974969508,-0.08598053191621323,-0.030259074719911155,-0.0183460287996507,-0.04932173504228402
2020-10-03 00:00:00+00:00,0.004512740010406639,0.02097696926047583,0.026564633595360248,-0.005157591478138865,0.030612797597186926,-0.0026846721814158783,0.0020440834777970653,-0.01648610407282526,-4.0344542397421883e-05,-0.00893910531552683,0.001012219014919437,0.005658442963473596,0.013939820814109587,-0.015768539568018384,-0.03069661001911311,0.04860628993888725,0.0035153028694532803,0.0005635390399914175,-0.004843662355598933,0.013139917691484159
2020-10-04 00:00:00+00:00,0.03766091437290082,0.05890893224084838,-0.01323194927061712,0.010741535166674044,0.027300111099172363,0.011747206689254342,0.014344704229025588,0.028237912969843442,0.015612182119423064,0.003771535245583867,0.01838750395991022,0.013204058684225573,0.025597926954295115,0.017756721589259044,-0.009360073075732705,-0.027971243660893753,-0.046638335372775876,0.026408761973297223,0.06330779805342727,-0.0014199169367858336
2020-10-05 00:00:00+00:00,0.005354213779471804,0.009737904665810582,0.0043547826614345805,0.0038857811409538767,-0.012191333749303618,0.011704400948838524,-0.005636821750310582,-0.0035735309220977923,0.0032121852615309356,-0.010494381024013621,0.0035411303452131263,0.02371519572483948,-0.007524489978615425,-0.025763530646053568,0.05105122080790583,-0.00037828636728781965,-0.11572541486627885,0.005608386220882661,0.009473417027727927,0.014856180334999218
2020-10-06 00:00:00+00:00,-0.04720485335512532,-0.12488985442172784,-0.1168039355969955,-0.009606308863027933,-0.0332055304243561,-0.018002652442652742,-0.008130126083250288,-0.105197683770712,0.06521384834441428,0.02691075000241424,-0.03707381967330129,-0.092383382379438,-0.007581537452397691,-0.06399519050752477,-0.19882069556234394,-0.03347109910686381,-0.20112943948266596,-0.012905176357458888,-0.019566937933667143,-0.03887171437496732
