,Mean_Bull_daily,Mean_Bear_daily,Vol_Bull_daily,Vol_Bear_daily,Mean_Bull_annualized,Mean_Bear_annualized,Vol_Bull_annualized,Vol_Bear_annualized,Sharpe_Bull,Sharpe_Bear
ADA_USDT,0.0026489421998984403,-0.004678773879514723,0.04874131667374535,0.06111663471512926,0.9668639029629307,-1.7077524660228738,0.9312015475438006,1.1676316667508757,0.05434695614871029,-0.07655483488780028
ATOM_USDT,0.001000673590733045,-0.004318500807519617,0.05186331549800402,0.06962518112817444,0.3652458606175614,-1.57625279474466,0.9908472513322166,1.3301872177264562,0.019294439260666943,-0.06202498489116458
AVAX_USDT,0.002511518253891752,-0.005705440414491424,0.061056359075240554,0.0662968815955288,0.9167041626704895,-2.0824857512893695,1.1664801022677236,1.2666001444384178,0.041134425503439785,-0.08605895597472885
BCH_USDT,0.002437597453012863,-0.007663937423304915,0.04858394935176924,0.05543232322483066,0.889723070349695,-2.797337159506294,0.9281950490788974,1.0590330482129755,0.05017289630704127,-0.13825755403071197
BNB_USDT,0.0034235237476837994,-0.003840805428763459,0.04082512608366875,0.04996864864731421,1.2495861679045868,-1.4018939814986624,0.779962938675819,0.9546496919750922,0.08385825289718601,-0.07686430457370194
BTC_USDT,0.002699868418430751,-0.0046404812986796376,0.029078934452537612,0.037711531025360165,0.9854519727272241,-1.6937756740180676,0.5555522626600194,0.7204777886104444,0.09284619499512449,-0.12305205258198128
DOGE_USDT,0.004517094184875145,-0.0063560574155884925,0.0763311009445446,0.0623930310182354,1.648739377479428,-2.3199609566898,1.458303635928843,1.192017183881804,0.05917763701792884,-0.1018712717087078
DOT_USDT,0.0016512570849106433,-0.007180856521437542,0.04909932346875305,0.062081521280849296,0.6027088359923848,-2.6210126303247026,0.9380412577587267,1.1860657987054337,0.03363095391653427,-0.11566817908588636
EOS_USDT,0.0010309313585500828,-0.007780279290252022,0.04940880357580541,0.06412556962859371,0.3762899458707802,-2.8398019409419883,0.9439538669020168,1.2251172875565592,0.02086533742854909,-0.12132881369030024
ETC_USDT,0.002612606673924122,-0.007317210618714811,0.05079799177800964,0.0618195405273371,0.9536014359823046,-2.6707818758309063,0.9704942702395197,1.1810606634373366,0.05143129841316119,-0.11836404082426141
ETH_USDT,0.0032372435371434377,-0.00661607740074105,0.03832943234827984,0.05243087751588102,1.1815938910573547,-2.4148682512704833,0.7322827768093393,1.001690508458646,0.0844584263009238,-0.12618666164298084
LINK_USDT,0.001675150152694568,-0.004557535386094149,0.050703851294278235,0.0668135074446329,0.6114298057335174,-1.6635004159243645,0.9686957188231928,1.2764702674268271,0.03303792729613822,-0.06821278451622816
LTC_USDT,0.0023691172477409996,-0.007539651686805476,0.04440872034673761,0.05421576339023296,0.8647277954254649,-2.7519728656839986,0.848427410940195,1.0357907052077602,0.053348018795480595,-0.1390675186575673
NEO_USDT,0.0016247910237494707,-0.010468366004845301,0.05210806508859179,0.06165392569378073,0.5930487236685568,-3.820953591768535,0.9955231856948763,1.177896596484936,0.03118118128138272,-0.16979236742910736
SOL_USDT,0.004083998305566533,-0.005106816686867983,0.05978665474040033,0.06747778204446643,1.4906593815317846,-1.8639880907068138,1.1422224350110004,1.2891612158371768,0.06830953033414672,-0.07568145443047755
TRX_USDT,0.002693682715317937,-0.004017023496840263,0.04115792020016735,0.04623778179841817,0.983194191091047,-1.4662135763466961,0.7863209613441704,0.8833715809091425,0.06544749351321655,-0.08687751316343832
UNI_USDT,0.0014158048422172307,-0.0040891175549841955,0.05645472981798243,0.06747823482184395,0.5167687674092892,-1.4925279075692313,1.0785660987486156,1.2891698661368285,0.025078586803656207,-0.06059905932305853
XLM_USDT,0.0025145465493709705,-0.00601858703324459,0.05296568811696161,0.05174551925967178,0.9178094905204042,-2.196784267134275,1.0119080506457518,0.9885967573588171,0.04747500955369856,-0.1163112694461879
XRP_USDT,0.002574249789414542,-0.0037638861110224505,0.05479521395999519,0.058370816331444,0.9396011731363078,-1.3738184305231944,1.0468610927990412,1.1151728801884024,0.04697946414250607,-0.06448232777232667
XTZ_USDT,0.0006611665193557001,-0.006084426489131007,0.05061833949971147,0.06360178338663672,0.24132577956483053,-2.2208156685328175,0.9670620182818879,1.2151103654547764,0.01306179787583646,-0.09566440066851015
