,ADA_USDT,ATOM_USDT,AVAX_USDT,BCH_USDT,BNB_USDT,BTC_USDT,DOGE_USDT,DOT_USDT,EOS_USDT,ETC_USDT,ETH_USDT,LINK_USDT,LTC_USDT,NEO_USDT,SOL_USDT,TRX_USDT,UNI_USDT,XLM_USDT,XRP_USDT,XTZ_USDT
ADA_USDT,0.0,0.0323515876776147,0.0985396277704157,0.14933362736210443,0.18165738338024162,0.1188154153780836,0.35115455781575394,0.06901756639406842,0.0809929354431943,0.12407565351843353,0.08683983239968185,0.10241071482338127,0.10014016984872365,0.13261408028254917,0.2608262052781962,0.18876245806181002,0.14081945818507047,0.1128559908665393,0.2560910379791157,0.07113424532290102
ATOM_USDT,0.0323515876776147,0.0,0.1446301728292675,0.21580056336087705,0.2657301653123325,0.16993097308391358,0.32418812742446884,0.10328093163682106,0.1323392388535194,0.1707433203975266,0.11215705221366812,0.09470043615380519,0.19299980828294205,0.19653882293039815,0.2537266752065386,0.2739131775753612,0.18389181347313188,0.18944197072876412,0.2311056209844824,0.08172719453797095
AVAX_USDT,0.0985396277704157,0.1446301728292675,0.0,0.3072240383547957,0.2905170580628138,0.20823535645167135,0.3829136827789607,0.20269087839067168,0.21868371158724476,0.2799454456424252,0.23524500308573149,0.20609329786495667,0.2817415440189266,0.2696213154781427,0.27387482373220495,0.331924626653126,0.29083166583005393,0.3091436844398473,0.29882717114731466,0.21283969120540291
BCH_USDT,0.14933362736210443,0.21580056336087705,0.3072240383547957,0.0,0.37012297528552596,0.18906013468468752,0.36001676268934885,0.23790118718304876,0.1214673988921231,0.14506420626919847,0.19660667736441173,0.21197196075551406,0.17625300782898323,0.21067849258123628,0.3535770173449818,0.29002840785284983,0.30903303247432995,0.26535369105286755,0.2796936168447702,0.16950714680356893
BNB_USDT,0.18165738338024162,0.2657301653123325,0.2905170580628138,0.37012297528552596,0.0,0.21208538060335647,0.5032050079990171,0.30916604327379404,0.28070564977924406,0.3417135067915947,0.2660767453181393,0.2755245282151172,0.34147221796772076,0.32341133617947737,0.307748079867361,0.38461277604785804,0.3938618038283164,0.3770258988799951,0.3522720961489606,0.24549314370396713
BTC_USDT,0.1188154153780836,0.16993097308391358,0.20823535645167135,0.18906013468468752,0.21208538060335647,0.0,0.3177640766939542,0.12657391646960436,0.177077341638325,0.21530281395258322,0.0984912817895559,0.15299878450937587,0.1446339542295184,0.19298037718414174,0.21728048391823407,0.22721884599132308,0.25703522990438,0.23313957724810586,0.23646608489020493,0.1743096987220255
DOGE_USDT,0.35115455781575394,0.32418812742446884,0.3829136827789607,0.36001676268934885,0.5032050079990171,0.3177640766939542,0.0,0.4016135210145671,0.3515724767890942,0.32358206248918703,0.32603668491611976,0.32742264840151314,0.38593925967701925,0.3979897970265856,0.4159265693353699,0.4565396979098304,0.4486550939771076,0.43046066608176126,0.4495603635571095,0.3541879897655801
DOT_USDT,0.06901756639406842,0.10328093163682106,0.20269087839067168,0.23790118718304876,0.30916604327379404,0.12657391646960436,0.4016135210145671,0.0,0.16553100499569995,0.2132116682405194,0.121298009603654,0.15731474866971729,0.20301953790122063,0.24164008122228142,0.31802416367323305,0.30379818227812666,0.1878713195307301,0.23093113594748726,0.2892907977884917,0.15820009275401792
EOS_USDT,0.0809929354431943,0.1323392388535194,0.21868371158724476,0.1214673988921231,0.28070564977924406,0.177077341638325,0.3515724767890942,0.16553100499569995,0.0,0.11406075838166962,0.16132911817001938,0.1512541222087972,0.15123331179995148,0.1121820092410507,0.30423631730512085,0.18525721262210537,0.26195479357760465,0.1750453454855504,0.16097890580314678,0.08921162738390309
ETC_USDT,0.12407565351843353,0.1707433203975266,0.2799454456424252,0.14506420626919847,0.3417135067915947,0.21530281395258322,0.32358206248918703,0.2132116682405194,0.11406075838166962,0.0,0.14854131249020353,0.15802649293408988,0.1686012001612165,0.17116934236095271,0.30312477898473733,0.2834908914912409,0.2510856018244838,0.24348512705618175,0.26700716030843086,0.12712767644946332
