date,EqualWeight,StaticMarkowitz,RegimeDynamic_combined,RegimeDynamic_MA
2020-12-22 00:00:00+00:00,0.007104192472240993,0.03394028964050524,0.03394028964050524,0.03394028964050524
2020-12-23 00:00:00+00:00,-0.15449951353426805,-0.042254955278066664,-0.042254955278066664,-0.042254955278066664
2020-12-24 00:00:00+00:00,0.10267951696636918,0.04065424599231489,0.04065424599231489,0.04065424599231489
2020-12-25 00:00:00+00:00,0.012845914348828985,0.034295462119607774,0.034295462119607774,0.034295462119607774
2020-12-26 00:00:00+00:00,-0.01224266180044987,0.058568998305443674,0.058568998305443674,0.058568998305443674
2020-12-27 00:00:00+00:00,0.012098616411365516,-0.0060723326625311685,-0.0060723326625311685,-0.0060723326625311685
2020-12-28 00:00:00+00:00,0.04727917567851942,0.02694413436996207,0.02694413436996207,0.02694413436996207
2020-12-29 00:00:00+00:00,-0.0039438778295835955,0.009515729839349773,0.009515729839349773,0.009515729839349773
2020-12-30 00:00:00+00:00,-0.009632637797747196,0.048629539512680335,0.048629539512680335,0.048629539512680335
2020-12-31 00:00:00+00:00,0.02554067235891523,-0.0014523360445414986,-0.0014523360445414986,-0.0014523360445414986
2021-01-01 00:00:00+00:00,0.020878899316355413,0.011579283561371279,0.011579283561371279,0.011579283561371279
2021-01-02 00:00:00+00:00,0.040087638062335736,0.0875728928000937,0.0875728928000937,0.0875728928000937
2021-01-03 00:00:00+00:00,0.08947812654827507,0.04642547437595815,0.04642547437595815,0.04642547437595815
2021-01-04 00:00:00+00:00,0.029174421221634463,-0.022166647887618865,-0.022166647887618865,-0.022166647887618865
2021-01-05 00:00:00+00:00,0.03630958581267514,0.055381089711885545,0.055381089711885545,0.055381089711885545
2021-01-06 00:00:00+00:00,0.09900767039322392,0.0811074954295481,0.0811074954295481,0.0811074954295481
2021-01-07 00:00:00+00:00,0.0003502874264201943,0.0481179712423493,0.0481179712423493,0.0481179712423493
2021-01-08 00:00:00+00:00,0.0060773003803200176,0.01816556633796191,0.01816556633796191,0.01816556633796191
2021-01-09 00:00:00+00:00,0.08078055960708104,0.00579381183402238,0.00579381183402238,0.00579381183402238
